name,description
インサート処理作業,"・宇宙機の構造部品や電子機器筐体等におけるボルトの雌ネジとなる部分に、インサート処理を適切に行うことができるスキル。
・業務にあたるうえで技能講習の受講が望ましい。
※雌ネジのインサート処理とは、雌ネジ部分の補強やゆるみ止めを目的とし、アルミ部材や複合材に対し用いられる。"
インシデント対応,"・業務上のトラブルや障害等のインシデントに対して、迅速かつ的確に対応を行うことができるスキル。
・具体的には、インシデントの検知・初動対応、関係者との情報共有、原因分析、再発防止策の策定・実施、対応記録の整理・報告などのスキルが該当する。
・特に、宇宙分野においては、ミッションの安全性や継続性を確保するために、リアルタイムでの異常対応や、関係機関との連携を含む包括的な対応体制の構築・運用が求められる。"
カシメ作業,"・電線やコネクター端子を接合する際に、適切な手順でカシメ作業を行うことができるスキル。
・業務にあたるうえで技能講習の受講が望ましい。
※カシメ作業とは、圧力を利用した部品の接合を指す。"
ガバナンス管理,"・組織や活動全体における意思決定・監督・執行の分離と、情報の透明性・説明責任を確保する体制の設計および運用を行うことができるスキル。
・具体的には、取締役会・監査役・委員会等の設計、社内規程や業務プロセスの整備、経営・事業活動に対する監督機能の構築、情報公開や内部統制の仕組みづくりなどのスキルが該当する。
・特に、宇宙分野においては、国家プロジェクトや安全保障関連活動における高い透明性と説明責任を果たすための、制度的・組織的なガバナンス体制の構築が求められる。"
クラウドインフラ,"・クラウド環境でデータを管理・運用することができるスキル。
・具体的には、クラウドストレージの利用、データ連携、セキュリティ設定、クラウドサービスの活用などのスキルが該当する。
・特に、宇宙分野においては、衛星データの大容量処理や国際連携を前提としたクラウド基盤の設計・運用が求められる。"
クレーン・玉掛,"・宇宙機部品の吊り上げ・移送に必要なクレーン操作を安全に行うことができるスキル。
・具体的には、吊り具の選定、荷の重心確認、合図による連携、吊り荷の安定化措置などのスキルが該当する。
・業務にあたるうえで技能講習の受講が望ましい。"
グラウンドトゥルース管理,"・観測データやモデルの精度を評価するために、基準となる正確な情報を取得・管理するスキル。
・具体的には、衛星画像やセンサデータの検証に用いる現地測定値や高精度参照データを収集・整備し、解析やアルゴリズム評価に活用するスキルが該当する。
※グラウンドトゥルースとは、衛星データなどの精度検証のために、現地で直接観測・測定された「真実の」データ（正解データ）のこと。"
コストマネジメント,"・プロジェクトを承認された予算内で完遂するためのコスト管理ができるスキル。
・具体的には、コスト管理計画の策定、コストの見積もり、予算の決定、コスト制御などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、限られた予算内でプロジェクトを完遂させることや、各サブシステムや業務工程ごとの多数のプロジェクトのコストマネジメントを行うことが求められ、その際に、QCD(品質・コスト・納期)の管理が重要事項となる。"
コミュニケーションマネジメント,"・プロジェクトおよびそのステークホルダーの情報ニーズを満たすために、成果物の作成および適切な情報連携を行うことができるスキル。
・具体的には、コミュニケーションマネジメント計画の策定、コミュニケーションの管理、コミュニケーションの監視などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、多種多様なステークホルダーと連携し、状況管理や各所へのフィードバックを行うことが求められる。"
コンピュータ設計・解析,"・データ処理を担うコンピュータの設計・解析を行うことができるスキル。
・具体的には、プログラミングや電子回路設計のほか、デジタル信号処理技術の実装などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、各サブシステムからのデジタル信号や内部・外部環境のアナログ信号を処理し、適切な制御・通信を実現するオンボードコンピュータの設計・解析が求められる。"
コンプライアンス管理,"・法令・規則・社内ルールの遵守を徹底する体制の構築および運用を行うことができるスキル。
・具体的には、関連法令の把握と対応方針の策定、社内教育の実施、違反リスクの監視、是正措置の実行、内部通報制度の整備などのスキルが該当する。
・特に、宇宙分野においては、輸出管理や安全保障貿易管理などの国際的な法制度に対し、遵守状況を継続的に監視・評価し、組織としての説明責任を果たすための体制運用と改善活動を行うことが求められる。"
サイバーセキュリティ（ITシステム）,"・組織やシステムをサイバー攻撃や情報漏洩などの脅威から守り、安全な運用を実現することができるスキル。
・具体的には、アクセス権管理、情報分類、セキュリティポリシー策定、従業員教育などの組織的管理に加え、脅威分析、セキュリティ設計、暗号技術の適用、インシデント発生時の対応などのスキルが該当する。"
サイバーセキュリティ（宇宙システム）,"・宇宙システム（衛星、地上局、通信・データ利用システムなど）特有の制約と脅威を踏まえ、設計段階から安全性を組み込み、ミッションの安全かつ継続的な運用を実現することができるスキル。
・具体的には、コマンド認証と暗号化（CCSDSに準拠した方式、量子暗号・光暗号など）、電波ジャミングやGNSSスプーフィング耐性設計、アップリンク権限管理、広域通信の傍受対策、RTOS脆弱性管理、地上局ネットワーク分離と運用認証、サプライチェーンリスク管理、FPGA/SoCの真正性検証、インシデント対応（偽テレコマンド、不正ファーム更新、通信妨害など）などのスキルが該当する。"
サービス設計,"・ユーザーの要望や利用状況に基づき、サービスの機能や構造等の設計を行うことができるスキル。
・特に、宇宙分野においては、宇宙機や衛星データなどに関する技術的側面（例：輸送可能総量、人工衛星による観測性能等）と運用的な側面（例：契約から打上げまでにかかる期間、人工衛星の観測周期等）を踏まえ、多様なステークホールだーに対応したサービス設計が求められる。"
システムズエンジニアリング,"・宇宙機および地上設備の設計・解析において、システム全体の要求をサブシステム・コンポーネントレベルの設計要求へと適切に分解・定義することができるスキル。
・具体的には、宇宙機全体の機械環境条件を設定し、個々の搭載機器の設計・選定に必要な要求を導出するスキルが該当する。
・特に、宇宙分野においては、初期設計段階における要求定義、設計仕様書の作成、設計変更時の影響評価等の場面で必要となる。"
シナリオプランニング,"・不確実性の高い将来に対し、技術・政策・市場動向等の変化を想定した複数の展開シナリオを構築し、それぞれにおけるリスク・機会・戦略的対応策を検討することができるスキル。
・特に、宇宙分野においては、長期的な技術進展や国際協調の変化を見据えたシナリオを構築できるスキルが求められる。"
スコープマネジメント,"・プロジェクトに含む範囲と含まない範囲を定義し、制御することができるスキル。
・具体的には、スコープ計画の策定、要件定義、WBS（作業分解構成図）の作成、スコープの検証、スコープのコントロールなどのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、各サブシステムや業務工程ごとにスコープを設定し、管理することが求められる。"
ステークホルダーマネジメント,"・プロジェクトに関連するステークホルダーの特定と、ステークホルダーの期待・プロジェクトへの影響分析に基づき、プロジェクトの意思決定と実行にステークホルダーを効果的に関与させるための適切な管理戦略を策定することができるスキル。
・具体的には、ステークホルダーの特定、ステークホルダーエンゲージメントの計画、ステークホルダーエンゲージメントの管理、ステークホルダーエンゲージメントの監視などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、多種多様なステークホルダーを巻き込んだプロジェクトの推進が求められる。"
ステークホルダー調整,"・地域住民・関連団体に対する事業説明、および心配点・疑問点に対するヒアリングと対応を行うことができるスキル。
・具体的には、農業・漁業・林業・畜産業など、周辺産業への影響調査と対応、法律により規制が出来ない船舶の運航に対する調査、および飛行安全海域確保のための調整などのスキルが該当する。"
ソフトウェアエンジニアリング,"・ソフトウェアエンジニアリングの方法論をもとに、制御系や通信系、ミッション機器（放送用中継器、気象観測機器、地球観測機器、科学観測機器等）等に関するソフトウェアシステムの開発等を行うことができるスキル。
※ソフトウェアエンジニアリングとは、ソフトウェアを複数の機能やモジュールに分割して管理を行い、それらを組み合わせてテストを実施し、全体のソフトウェアシステムの設計にフィードバックを反映する等の一連の開発サイクルにおける進捗状況を体系的に管理することによって、効率的なソフトウェアの開発を目指すアプローチ手法。"
タイムマネジメント,"・プロジェクトを計画の期間通りに完了させるためのスケジュール管理を行うことができるスキル。
・具体的には、スケジュール管理計画の策定、活動要件の定義、活動要件の順序設定、活動期間の見積もり、スケジュールの作成、スケジュールのコントロールなどのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、定まった打上げ予定日までにプロジェクトを完遂させることや、各サブシステムや業務工程ごとの多数のプロジェクトのタイムマネジメントを行うことが求められ、その際に、QCD(品質・コスト・納期)の管理が重要事項となる。"
データベース設計,"・データの構造を設計し、安全かつ信頼性のある管理を行うことができるスキル。
・具体的には、ユーザー情報・履歴・コンテンツ等のスキーマ設計、正規化、インデックス設計などのスキルが該当する。
・特に、宇宙分野においては、衛星データや運用履歴などの長期保存・検索性を考慮した設計が求められる。"
データマネジメント,"・データに関する品質・セキュリティ・統制を維持し、整備・運用を行うことができるスキル。
・具体的には、メタデータ管理、データライフサイクル管理、データガバナンス体制の構築・運用などのスキルが該当する。
・特に、宇宙分野においては、衛星データの真正性・機密性・可用性を確保するための管理が求められる。"
データ前処理・アノテーション技術,"・取得したデータを整形・加工し、機械学習や解析に適した形式への変換を行うことができるスキル。
・具体的には、欠損値処理、正規化、ラベリング、アノテーションツールの活用などのスキルが該当する。
※アノテーションとは、テキスト、音声、画像などのデータにタグやメタデータと呼ばれる情報を付けていく工程のこと。"
ネジ固着作業,"・接着剤等を適切に使用し、ネジを完全に固着させる作業を行うことができるスキル。
・業務にあたるうえで技能講習の受講が望ましい。"
ネジ締め付け作業,"・耐腐食性・耐酸化性・耐摩耗性・耐振動性・過酷な条件下（低温~高温、低圧・高圧等）等を考慮して、最適なねじを選定し、緩みのない締め付け、トルク確認を適切に実施できるスキル。
・業務にあたるうえで技能講習の受講が望ましい。"
ネットワーク設計・解析,"・コンピューターや通信機器が相互にデータを連携するためのネットワークの設計・解析を行うことができるスキル。
・具体的には物理的な配線・機器の配置、通信プロトコルやアドレス割り当て、セキュリティ対策等の設計・解析などのスキルが該当する。
・特に、宇宙機の開発においては、宇宙輸送機や人工衛星の通信機と地上局を接続する回線であるスペースリンクサブネットワークや、人工衛星内のネットワークであるオンボードサブネットワークの設計・解析が求められる。"
ハーネス組付け,"・電気信号や電力を伝達するために必要な電線やケーブル等をまとめたハーネスの製造を行うことができるスキル。
・具体的には、電線の切断、導線の露出、端子の圧着、コネクタの取り付け、配線、検査などのスキルが該当する。
・使用する金属の種類に対して、性質の理解を有することが望ましい。"
バックエンド設計,"・ソフトウェアにおけるユーザーが直接操作しない裏側の処理（バックエンド）を設計・実装するスキル。
・具体的には、API設計、データベース連携、認証処理の構築などのスキルが該当する。
・特に、宇宙分野においては、衛星データの取得・処理・配信に関する高信頼・高可用性の設計が求められる。"
ビジネスモデル設計,"・製品・サービスの価値定義から提供、収益化に至るまでの仕組みを構想・設計することができるスキル。
・具体的には、顧客セグメント、提供価値、チャネル、顧客関係、収益の流れ、主要資源・活動・パートナー、コスト構造等の設計スキルが該当する。
・特に、宇宙分野においては、輸送サービス、衛星観測、通信サービス、地理空間情報の提供など多様な価値提供手段が存在し、事業開発までに多くの投資や期間がかかることや、顧客層も多様であるなどの業界特性に鑑み、ビジネスを設計するスキルが求められる。"
フロントエンド設計,"・ソフトウェアにおけるユーザーが直接操作する画面や機能（フロントエンド）を設計・実装するスキル。
・具体的には、必要なコーディング作業を行い、画面構成・操作性・レスポンスに関するデザイン、アクセシビリティの設計、ユーザー行動に基づくUI改善スキルなどが該当する。
・特に、宇宙分野においては、衛星データの閲覧ツールや運用支援システム・プログラミングソフト等を用いた専門的な情報を扱うUIの設計と、操作性・視認性の高いインタフェース構築が求められる。"
ブランディング,"・企業やサービスの価値・認知を高めるブランド戦略を構築・運用するスキル。
・具体的には、ブランドコンセプトの設計、メッセージ開発、社内外への浸透活動などのスキルが該当する。
・特に、宇宙分野においては、技術革新・社会貢献・国家戦略との関係性を踏まえたブランド構築が重要であり、信頼性・先進性・公共性を訴求する戦略が求められる。"
プロジェクト統合マネジメント,"・プロジェクト内におけるさまざまなプロセスやプロジェクトマネジメント活動を特定・定義・結合・統一・調整するための活動を行うことができるスキル。
・プロジェクトの開始から完了まで必要なスキルであり、具体的には、資源配分、需要と供給のバランス、代替案の検討、プロジェクトの目標に合わせたプロセスの調整などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、各サブシステムや業務工程ごとの多数のプロジェクトを管理することが求められる。"
ミッション実行オペレーション,"・人工衛星に搭載されたミッション機器（放送用中継器、気象観測機器、地球観測機器、科学観測機器等）との通信・制御を実施するための運用手順を理解し、実行できるスキル。
・具体的には、観測機器の起動・停止、観測モードの切替、データ取得タイミングの調整などのスキルが該当する。"
メディア対応管理,"・報道機関やSNS等を通じて、企業情報を適切に発信・管理するスキル。
・具体的には、プレスリリース作成、取材対応、危機時の情報発信などのスキルが該当する。
・特に、宇宙分野においては、打上げや人工衛星の運用など社会的注目度の高いイベントに対する迅速かつ正確な情報発信や、事故・トラブル時のリスクコミュニケーションが重要となる。"
モデルベース開発,"・モデルベース開発手法（システムズエンジニアリングの考えを用いて、コンピュータ上でシミュレーションを行うモデルを作成し、モデルを使用して設計や解析等のシステム開発を行うアプローチ及び手法）を用いて、システムの要求水準の整理、仕様・設計の検討、製造、検証・妥当性確認等を行うことができるスキル。
・具体的には、開発と検証を並行して行い、設計品質の向上や設計の不具合による後戻りを低減することによって生産性向上を実現するために用いられる。"
ユーザビリティ（UX）設計,"・製品・サービス・システムを、利用者が使いやすく、理解しやすく、目的を達成しやすい状態に設計するスキル。
・具体的には、ユーザーの業務プロセスや利用環境を踏まえた課題の抽出、サービス機能や画面構成の設計、操作性・可用性・信頼性の評価、業務フローや物理的環境を含めた顧客体験全体の改善提案等のスキルが該当する。
・特に、宇宙分野においては、複雑な宇宙システムを安全かつ確実に運用できるよう、複雑な情報や操作を直感的に誤操作なく扱えるように設計するスキルが求められる。"
リスクマネジメント,"・リスクの発生確率と影響を管理し、プロジェクトの成功可能性を最大化することができるスキル。
・具体的には、リスク管理計画の策定、リスクの識別、定性的・定量的リスク分析の実施、リスク対応計画の策定、リスク対応の実施、リスクの監視などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、安全性や信頼性の観点を考慮したり、コストや納期等の管理を通じた、プロジェクト全体のリスク最小化が求められる。"
リベット作業,"・宇宙機の構造部品等において、リベットを用いて機械結合を適切に行うことができるスキル。
・業務にあたるうえで技能講習の受講が望ましい。"
リモートセンシング,"・リモートセンシングにおける衛星の軌道、撮像方法、センサの種類等の基本構造と観測原理に関する知識を有し、業務に活用できるスキル。
・具体的には、観測目的に応じた物理量（反射率、輝度温度、偏波特性等）の選定方法、観測モード、センサ選定に関する理解が該当する。
・特に、宇宙分野においては、観測目的に応じた軌道設計やセンサ構成の選定が求められる。"
ロボティクス,"・ロボティクスの構成要素および制御技術に関する知識を有し、業務に活用できるスキル。
・具体的には、アクチュエータ・センサ・制御系の構成、宇宙環境下での動作特性、遠隔操作・自律制御技術に関する理解が該当する。
・特に、宇宙分野においては、宇宙機器の操作や保守作業における自律・遠隔制御技術の活用が求められる。"
一般法務手続き対応,"・契約・法令遵守等に関する業務を遂行するスキル。
・具体的には、契約書の作成・レビュー、法的リスクの評価、コンプライアンス対応などのスキルが該当する。
・特に、宇宙分野においては、国際法や宇宙法、輸出管理等の特殊な法制度への対応が必要となる場面で重要となる。"
予算・資金管理,"・事業活動における予算編成・資金運用を行うことができるスキル。
・具体的には、予算計画の策定、キャッシュフロー管理、リスク評価、財務報告の作成などのスキルが該当する。
・特に、宇宙分野においては、長期プロジェクトにおける予算管理や、不確実性の高い環境下での資金運用が求められる。"
人工衛星システム,"・人工衛星の全体構成および構成要素に関する知識を有し、業務に活用できるスキル。
・具体的には、人工衛星の全体構成・機能の理解、その構成要素である電力・通信・熱制御等のバス系（人工衛星の構造系や電源系等の共通的な機構）、ペイロード構成、ミッション搭載機器（宇宙機の運用目的達成のために必要な特殊な機器）に関する理解が該当する。
・特に宇宙分野においては、技術革新のスピードが速いため、新技術や近年のトレンドも把握し、業界の変化に柔軟に対応することが求められる。"
人材配置・評価,"・人材のスキルや適性を評価し、業務やプロジェクトに応じた適切な配置を行うことができるスキル。
・具体的には、評価基準の設計、KPIの設定、長期プロジェクトにおける人材の継続的評価、配置戦略の策定などのスキルが該当する。
・特に、宇宙分野においては、専門性・継続性・安全性を考慮した人材配置や、定量評価が困難な業務への対処が求められる。"
保全性設計,"・故障や異常をいち早く検知し、システムを復旧させるような仕組みの設計を行うことができるスキル。
・具体的には、各種設計・解析項目において、維持や復旧に関する要件を設計要件に反映することができるスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、各種設計段階において宇宙機の故障や異常をいち早く検知する仕組みや、復旧のための仕組みの設計が求められる。"
信号処理技術,"・人工衛星から送信されるアナログ・デジタル信号の解析・変換・復元を行うことができるスキル。
・具体的には、フィルタリング、フーリエ変換（信号を周波数成分に分解して解析する手法）、ノイズ除去、変調・復調などのスキルが該当する。
・特に、宇宙分野においては、テレメトリ信号の解析や通信系の信号復元、地上局での受信処理において必要となる。"
信頼性設計,"・製品やシステムを設計する際に、信頼性（壊れにくさや安定性）を考慮して設計することができるスキル。
・具体的には、各種設計・解析項目において、潜在的な故障要因の特定、冗長性の確保、FTA・FMEA（故障モード影響解析）等のスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、「設計余裕の確保及び故障リスクの最小化」、「故障許容設計」が重要度の高い項目として求められる。"
光学センサ,"・光学センサの構造、撮像原理、設計要素、撮像可能な事象等に関する知識を有し、業務に活用できるスキル。
・具体的には、可視・赤外・紫外等の波長帯、分解能・視野角・感度等の設計要素に関する理解が該当する。
・特に、宇宙分野においては、対象物の特性に応じた波長帯の選定や撮像性能の最適化が求められる。"
公的資金管理,"・政府機関からの補助金・委託費等の公的資金を適正に管理・報告するスキル。
・具体的には、収支報告書の作成、経費内訳書の整備、制度要件の理解、監査対応などのスキルが該当する。
・特に、宇宙分野においては、公的機関からの委託費・補助金の適正管理と制度要件への対応が求められる。"
労務,"・従業員の就業環境・制度・法令遵守を適切に管理するスキル。
・具体的には、勤怠管理、社会保険手続き、安全衛生管理、労使関係対応などのスキルが該当する。
・特に、宇宙分野においては、外国籍従業員の在留資格管理や言語・文化面での配慮が求められる場面が多く、国際的な労務対応も重要となる。"
化学推進（固体燃料） システム設計・解析,"・化学推進（固体燃料）システム（※以下、固体推進システム）の開発において、燃焼時の温度・圧力に耐えうる材料の選定や構造の設計、燃焼方法の検討、燃焼室の冷却検討を行うことができるスキル。
※固体推進システムとは、宇宙輸送機における、固体燃料を使用した推進器を指し、点火装置・燃焼室・ノズル等から構成され、固体燃料の点火とともに一気に燃焼する推進システムのこと。"
化学推進（液体燃料） システム設計・解析,"・化学推進（液体燃料）システム（※以下、液体推進システム）の開発において、燃焼時の温度・圧力に耐えうる材料の選定や構造の設計、燃焼方法の検討、焼却の冷却検討、推進力制御システムの設計を行うことができるスキル。
・液体推進システムとは、宇宙輸送機や人工衛星における、液体燃料を使用した推進器を指し、点火装置・燃焼室・ノズルのほかに、タンク・バルブ・ターボポンプ等から構成され、燃焼の開始・停止および推進力の調整など精密な誘導制御が可能な推進システムのこと。"
危険物管理（その他）,"・宇宙機の開発・運用において取り扱われる、極低温流体・火薬類・高圧ガス・放射線以外の危険物に関する安全管理を理解し、実行できるスキル。
・具体的には、腐食性物質（例：過酸化水素）、毒性物質（例：ヒドラジン系燃料）、可燃性液体、有機溶剤などの性質理解、保管・取扱手順の遵守、漏洩・暴露・火災等のリスク評価と対策などのスキルが該当する。"
危険物管理（放射線）,"・放射線源（X線装置、放射性同位体等）の取り扱いに関する安全管理を理解し、実行できるスキル。
・具体的には、放射線の種類・影響の理解、遮蔽・距離・時間による防護、線量管理・測定、法令遵守をなどのスキルが該当する。"
危険物管理（極低温流体）,"・極低温で管理される宇宙機の液体燃料（例：液体酸素、液体水素など）の取り扱いに関する安全管理を理解し、実行できるスキル。
・具体的には、極低温流体の物性理解、取扱手順の遵守、設備・容器の管理、漏洩・凍傷等のリスク対策などのスキルが該当する。
・特に、宇宙機の液体燃料（例：液体酸素、液体水素など）は極低温で管理されるため、地上試験や燃料充填作業において厳格な安全管理が求められる。"
危険物管理（火薬類）,"・火薬類（推進薬、点火薬等）の取り扱いに関する安全管理を理解し、実行できるスキル。
・具体的には、火薬類の分類・性質の理解、保管・運搬・使用時の安全手順の遵守、爆発リスクの評価・対策などのスキルが該当する。"
危険物管理（高圧ガス）,"・高圧ガス（ヘリウム、窒素等）の取り扱いに関する安全管理を理解し、実行できるスキル。
・具体的には、ガスの圧力・温度特性の理解、容器・配管の管理、漏洩・破裂リスクへの対応などのスキルが該当する。"
品質マネジメント,"・ステークホルダーの期待値を達成するために、プロジェクトおよび製作物の品質を管理することができるスキル。
・具体的には、品質管理計画の策定、品質管理、品質コントロールなどのスキルが該当する。
・特に宇宙輸送機や人工衛星の開発においては、高い安全性・信頼性を担保することができるスキル等が該当する。また、各サブシステムや業務工程ごとの多数のプロジェクトの品質マネジメントを行うことが求められ、その際に、QCD(品質・コスト・納期)の管理が重要事項となる。"
営業・顧客対応,"・既存顧客との関係を維持・強化し、サービス提供を円滑に行うことができるスキル。
・具体的には、顧客とのコミュニケーション、課題ヒアリング、提案・契約・アフター対応などのスキルが該当する。
・特に、宇宙分野においては、技術的専門性を踏まえた説明力と、官民・海外顧客への対応力が求められる。"
回路設計・解析,"・電気信号の流れを制御し、機器が正しく動作するための電子回路の設計・解析を行うことができるスキル。
・具体的には、部品の選定や配置等の設計、ソフトウェアを使用した解析などのスキル等が該当する。"
土木設計・施工管理,"・宇宙関連施設（射場、整備棟、搬送路など）の土木構造物に関する設計・施工管理を行うスキル。
・具体的には、基礎工事、舗装、耐震設計、排水計画、地盤調査などを実施するスキルが該当する。
・特に、宇宙分野では、打上げ設備の重量・振動条件や特殊環境（塩害、風圧）への対応が求められる。"
地上局制御オペレーション,"・地上局において、人工衛星との通信リンクを確立・維持するために、アンテナを人工衛星の軌道に合わせて正確に指向・追尾し、テレメトリデータの受信およびコマンドの送信を行うことができるスキル。
・具体的には、運用管制局で作成された軌道予報値を用いたアンテナの指向や、S帯・X帯・Ka帯等の適切な周波数帯を選択した通信などのスキルが該当する。"
地理情報システム（GIS）,"・地理情報システム（GIS）に関する知識を有し、業務に活用できるスキル。
・具体的には、GIS/WEBGISの操作手法、空間データの構造、地図投影法、属性情報の管理、リモートセンシングデータとの統合解析に関する理解が該当する。
・特に、宇宙分野においては、衛星データを活用した空間情報の解析・可視化の際に求められる。"
塗装作業,"・宇宙機に用いられる特殊な塗料を使用し、構造部材や搭載機器に対し塗装を適切に行うことができるスキル。
・使用する塗料や、下地処理に対する知識も必要であり、業務にあたるうえで技能講習の受講が望ましい。"
外為・国際財務対応,"・国際的な取引や貿易において、金融機関と協同しながら、外国通貨における取引を行うことができるスキル。
・具体的には、為替予約、信用状の発行、国際送金、金融機関との調整などのスキルが該当する。
・特に、宇宙分野においては、海外企業との契約や部品調達、打上げサービスの利用に伴う国際財務対応が求められる。"
姿勢制御系の設計・解析,"・宇宙輸送機や人工衛星の姿勢（向きなど）を制御するための設計・解析を行うことができるスキル。
・具体的には、センサやアクチュエータの選定・製造、制御アルゴリズムの開発、シミュレーション解析などのスキルが該当する。"
宇宙保険,"・宇宙活動に伴うリスクと、それに対応する保険制度の構造・適用範囲に関する知識を有し、業務に活用できるスキル。
・具体的には、打上げ・運用・第三者責任に関する保険制度、保険料算定のためのリスク評価、保険契約の構造、ミッション特性に応じた保険条件の検討・選定に関する理解が該当する。
・特に、宇宙分野においては、打上げ失敗や運用中の障害など、リスク特性に応じた補償内容の判断が求められる。"
宇宙居住空間・構造物,"・宇宙空間における構造物の設計思想、機能、安全性に関する知識を有し、業務に活用できるスキル。
・具体的には、与圧・非与圧構造、遮蔽材や構造設計、展開構造、モジュール接続、宇宙環境（熱・放射線・微小重力等）への対応に関する理解が該当する。
・特に、宇宙分野においては、宇宙ステーション、月面基地、衛星プラットフォームなどの構造設計において、ミッション要件や安全性・信頼性を満たすための設計が求められる。"
宇宙環境・宇宙生命維持,"・宇宙空間における生命維持に必要な環境条件と、それに対応する技術・生理的影響に関する知識を有し、業務に活用できるスキル。
・具体的には、酸素供給・二酸化炭素除去・温度管理・廃棄物処理、生理・心理的影響に関する理解が該当する。
・特に、宇宙分野においては、閉鎖環境における長期滞在に向けた生命維持システムの設計と評価が求められる。"
宇宙環境条件の反映（設計・解析）,"・宇宙輸送機や人工衛星の開発において、宇宙環境における温度や放射線、電磁波等を加味したうえでの設計・解析を行うことができるスキル。
・具体的には、熱解析、放射線耐性評価、電磁干渉対策など、宇宙環境に起因する物理的影響を考慮した設計・解析などのスキルが該当する。
・特に、宇宙分野においては、長期運用や深宇宙探査における過酷な環境条件への耐性設計が求められる。"
