name,description
国際調整・輸出管理対応業務,"・宇宙輸送機および射場運用に関連する国際的な協定や輸出管理規制への対応を行う業務。
・具体的には、打上げ作戦に関する国際通知（NOTAM、NOTMAR）、宇宙物体登録、電波利用調整、国際信号条件への対応、輸出管理規制（ITAR、MTCR）への適合、技術情報保護、外国技術者のアクセス管理、緊急事態対応体制の構築等を行う業務が該当する。
・特に、宇宙分野においては、国際条約や輸出管理規制に適合するため、技術流出防止等厳格な管理体制が求められる。"
地上局設備管理,"・宇宙機との通信を行う地上局の設備を維持・管理する業務。
・具体的には、アンテナ、受信機、データ処理装置の保守、通信試験の実施等を行う業務が該当する。"
契約・文書管理,"・契約書や社内文書の管理を行う業務。
・具体的には、契約書の締結・保管・更新管理、社内文書のバージョン管理・アクセス制御・保存期限管理を行う業務が該当する。
・特に、宇宙分野においては、官公庁・海外企業との契約や技術文書の機密性が高いため、厳格な管理が必要となる。"
契約書の作成・レビュー・締結,"・契約書の作成・レビュー・締結を行う業務。
・具体的には、共同研究契約、調達購買契約、打上げ契約、衛星運用契約等の法的整合性を確認・管理する業務が該当する。
・特に、宇宙分野においては、国際契約・技術移転・知財保護等複雑な契約が多く、専門性が求められる。"
姿勢維持,"・太陽光パネルや搭載機器の正常な運用に向けて、衛星の姿勢を監視し、維持・修正を行う業務。
・具体的には、スピン安定制御、重力傾度安定制御、三軸制御等の方法論や、リアクションホイールを活用した姿勢制御を行う業務が該当する。"
宇宙ミッション策定,"・宇宙輸送機や人工衛星によって成し遂げるべきこと（ミッション）を検討・策定する業務。
・具体的には、宇宙輸送機を用いてどのような物資・探査機・衛星等をどのような軌道に投入するのかを検討する業務や、人工衛星を用いて取得すべきデータの種類、取得方法、活用方法を検討し、計画遂行時の期待成果や成功基準（サクセスクライテリア）を明確にするなどの業務が該当する。
・特に、宇宙分野においては、科学探査、通信、地球観測、輸送等の多様な活動について、その目的や意義を見出し、技術的制約や国際調整を踏まえた設計を行うことが求められる。"
宇宙関連法制度対応,"・宇宙活動法・宇宙基本法等の法制度に対応する業務。
・具体的には、打上げ・運用に関する許認可取得、法改正への対応、官庁との調整を行う業務が該当する。
・特に、宇宙分野においては、国家安全保障や国際条約に関わる法制度への理解が必要となる。"
射場セキュリティ管理,"・射場設備において、設備の情報保護を目的として定常的にセキュリティ上の管理・監視を行う業務。
・具体的には、射場への立入管理、監視カメラ・警備体制の整備、技術情報の漏洩防止措置、関係者の身分確認、緊急時の対応体制構築等を行う業務を指す。
・特に、宇宙分野においては、国家安全保障や技術流出防止の観点から、国際規制（ITAR、MTCR等）に適合する厳格なセキュリティ体制が求められる。"
射場安全管理,"・施設横断での作業安全統制を行い、許可・隔離・復旧を体系的に運用する業務。
・具体的には、リスクアセスメント、作業安全分析（JSA）、作業許可（PTW）発給、ロックアウト・タグアウト（LOTO）、適格性認定・教育、逸脱時の是正措置（CAPA）を恒常的に運用し、保守・改修・試験準備など日常作業に対して、並行作業の干渉リスクとコミュニケーション手順を標準化する。"
射場運用計画策定,"・宇宙輸送機および衛星の打上げに係る一連の作業を、安全かつ確実に遂行するため、関係機関・設備・人員・法令等を調整し、適切な時系列で計画・管理する業務。
・具体的には、機体構成、組立、点検、燃料充填、射点移動、打上げ、追跡、後処理までの各工程について、地上設備の稼働状況、安全条件、法令手続き、作業要員配置、緊急対応体制等を考慮し、打上予定時刻や準備期間を含む工程表（スケジュール）を策定・調整する業務が該当する。"
射点設備管理,"・宇宙機の打上げを行う射点に設置された設備の保守・運用を行う業務。
・具体的には、発射台、固定装置、燃料供給ライン、冷却システム等の点検・整備を行う業務が該当する。"
市場・顧客ニーズの発掘,"・官公庁、民間企業、研究機関、個人等の潜在ニーズを探索する業務。
・具体的には、ヒアリング、アンケート調査、業界動向分析等を行う業務が該当する。
・特に、宇宙分野においては、技術の社会実装に向けたニーズの顕在化が重要であり、非宇宙分野との接点を見出す探索力が求められる。"
廃棄運用,"・衛星の運用終了時において、宇宙環境の保全および安全確保を目的として、計画的に衛星を廃棄状態へ移行させるための制御・運用を行う業務。
・具体的には、デオービットや墓場軌道投入に向けたコマンド送信、軌道・姿勢制御、残留エネルギーのパッシベーション、テレメトリ監視等を行う業務が該当する。
・特に、宇宙分野においては、デブリ発生防止や国際的なガイドラインへの適合を踏まえ、事前に策定した廃棄運用計画に基づく確実な制御・監視が求められる場面で必要となる。"
情報システム・情報セキュリティ管理運用,"・情報セキュリティ部門で業界共通的に行う業務。
・具体的には、情報資産の保護、セキュリティポリシーの運用、システム防御、インシデント対応等を行う業務が該当する。
・特に、宇宙分野においては、衛星運用情報や設計情報等国家機密に関わる情報が多く、厳格なセキュリティ管理が必要となる。"
情報セキュリティポリシー策定・運用,"・情報セキュリティポリシーを策定・運用する業務。
・具体的には、機密情報・技術情報の保護を目的とした社内ルールの整備、社員教育、監査対応を行う業務が該当する。
・特に、宇宙分野においては、衛星運用情報や設計情報等の国家機密に関わる情報が含まれるため、厳格な運用が求められる。"
情報漏洩対策,"・情報漏洩を未然に防止するための対策を行う業務。
・具体的には、機密情報の分類・アクセス制御、社員教育、外部委託先の監査、漏洩時の対応体制整備等を行う業務が該当する。
・特に、宇宙分野においては、衛星設計情報や運用データ等国家機密に関わる情報が多く、事前の厳格な漏洩防止策が求められる。
※情報漏洩対策は、内部からの情報流出を防ぐための管理・運用施策を指し、サイバー攻撃対策は、外部からの不正アクセスや攻撃を防御するための技術的・運用的施策を指す。"
打上げ可否判断,"・宇宙輸送機の安全かつ確実な打上げを実施するために、気象条件等に基づき打上げの可否を判断する業務。
・具体的には、雷・強風・大雨等の気象観測結果をもとに、打上げ中止・延期・決行の判断を行う業務が該当する。"
打上実行,"・打上げ実施に向けた最終指令を発行する業務。
・具体的には、実施可否判定、自爆装置起動準備、レンジクリアランス確認、カウントダウン、打上げ指令実行等を行う業務が該当する。"
技術提案・企画,"・顧客のニーズや課題を踏まえ、宇宙システムに関する技術的な提案および企画を行う業務。
・具体的には、衛星、地上設備、データ解析等を含むシステム構成やミッション設計に基づき、顧客の要求に応じた技術的ソリューションを企画・提案する業務が該当する。
・特に、宇宙分野においては、特有の制約条件や運用環境を考慮しつつ、技術的実現性と事業性の両面から最適な提案を行うことが求められる。"
採用,"・人材を採用する業務。
・具体的には、採用計画の立案、求人票作成、面接・選考の実施、内定者フォローを行う業務が該当する。
・特に、宇宙分野においては、高度専門職や理工系人材の確保が重要であり、専門性を見極める選考体制が必要となる。"
接続・結合（インテグレーション）,"・統合された一つのシステムとして動作するように、複数のサブシステムを接合・結合する業務。
・具体的には、インタフェース仕様に基づき、電気・通信・熱・構造の各接続を確認し、統合試験を通じて動作検証を行う業務が該当する。
・特に、宇宙分野においては、打上げ前に全システムの統合試験を完了させる必要があり、試験環境の制約下での総合的な検証が不可欠である。"
推進系の製造,"・設計図に基づき、適切な材料・加工法を用いて、各種部品の製造を行う業務。
・製造された推進系の部品同士の組付けを行う業務。"
推進系の解析,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、エンジン（電気系・化学系）を設計する段階において、特定の環境下におけるシミュレーションを行い、設計解を得る業務。
推進系の設計,・宇宙機の運用目的達成のために求められる機能・性能要件と、温度や振動等の特定環境条件下における信頼性・安全性要件を満たすことができるよう、エンジン（電気系・化学系）の設計を行う業務。
推進系の試験,・設計段階から製造後の段階において、材料や部品、製作した推進系システムが機能・性能要件及び信頼性・安全性要件を満たしているかの検証を行い、また必要に応じて、設計検証を実施する業務。
搬送設備管理,"・宇宙機や関連機材を射点や整備棟間で安全に搬送するための設備を管理する業務。
・具体的には、搬送車両の整備、搬送ルートの安全確保、振動・衝撃対策の実施等を行う業務が該当する。"
政策・公募制度の活用提案,"・政府機関等の委託事業、補助金制度を活用した事業計画の立案・申請支援を行う業務。
・具体的には、制度の調査、活用方針の策定、申請書類の作成支援等を行う業務が該当する。"
教師データ作成,"・機械学習に用いる教師データを作成する業務。
・具体的には、衛星画像に対するラベリングやアノテーション（画像内の対象物に境界や属性情報を付与する作業）を行う業務が該当する。
・特に、宇宙分野においては、雲、海、都市、農地等の地物や異常検知対象を正確に識別し、モデル学習に適した形式でデータを整備することが重要となる。"
整備システムの自動化,"・地上設備の効率的な運用を実現するために、整備作業の自動化を行う業務。
・具体的には、点検ロボットの導入、遠隔監視システムの構築、作業ログの自動記録、AIによる異常検知アルゴリズムの開発等を行う業務が該当する。"
新サービスの企画・検討,"・宇宙利用サービスにおいて、新たな社会的価値を創出するサービスの企画・検討を行う業務。
・具体的には、社会課題の抽出、利用シナリオの設計、顧客提案資料の作成等を行う業務が該当する。
・特に、宇宙分野においては、衛星データや地上設備を活用した防災、農業、都市計画等の分野における新規サービス創出の場面で必要となる。"
新技術創造,"・宇宙機の開発において、新たな技術の創出や導入を企図し、プロジェクトの構想段階から技術的検討を行う業務。
・具体的には、技術ニーズの把握、先行技術の調査、技術開発方針の立案、プロトタイプの実装、実利用を意識した実証等を行う業務が該当する。
・特に、宇宙分野においては、人工衛星や宇宙輸送機の運用目的に応じて既存技術の限界を超える新技術の導入・開発が求められ、構想段階から技術的視点での貢献が重要となる。"
新規顧客獲得,"・営業活動の中でも、特に新規顧客を獲得する業務。
・具体的には、宇宙関連サービス・製品の提案、展示会・イベントでの営業活動、顧客ニーズの把握を行う業務が該当する。
・特に、宇宙分野においては、官公庁・研究機関・海外企業等多様な顧客層へのアプローチが必要となる。"
施設・整備組立棟管理,"・射場における宇宙機の組立・整備作業を行う専用施設の運用・管理を行う業務。
・具体的には、工具管理、クリーンルーム環境の維持、作業者の安全管理等を行う業務が該当する。"
施設構造健全性・安全管理,"・建屋の構造健全性と耐震・耐風・耐爆性能を維持し、人的・物的被害を予防する業務。
・具体的には、定期点検（ひび割れ・腐食・沈下）、劣化診断と補修計画、設備基礎・支持架台の管理、荷重ケース（風・音響・地震）に対する設計検証、吊り荷作業の安全統制を継続的に実施する。また、射場・試験棟での大振動・大音響への耐性を保つため、モニタリング（ひずみ計・地震計）と避難計画の更新を並行して実施する。"
校正検証,"・衛星システムで取得・処理されるデータが、要求仕様や設計基準に適合していることを確認する業務。
・具体的には、データ構造・フォーマット・属性情報の整合性検証、既知データとの比較検証、異常や欠落がないかの評価と言った業務や、関連するインタフェース仕様や運用条件との整合性を確認し、品質保証の観点から問題点を抽出・改善提案を行う業務が該当する。
・特に、宇宙分野においては、衛星データの信頼性確保や後続処理の精度向上において必要となる。"
検査・検収,"・製品や成果物の受領に際し、要求仕様および品質基準への適合性を総合的に確認し、最終的な検収判定を行う業務。
・具体的には、受入検査やドキュメント検査の結果を踏まえ、検収の可否判断、不適合事項に対する是正判断、関係部門との調整等を行う業務が該当する。
・特に、宇宙分野においては、打上げ後の修正が困難であることを踏まえ、納品物の品質および仕様が確実に満たされていることを担保するため、プロジェクト全体の観点から厳密な判断を行う検収プロセスが求められる。"
