skill_major_id,skill_major,skill_sub_id,skill_sub,business_major_id,business_major,business_sub_id,business_sub,level
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-11,営業,BZ-1102,新規顧客獲得,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-11,営業,BZ-1103,技術提案・企画,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-12,マーケティング,BZ-1201,マーケティング,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-13,PR・広報,BZ-1301,ＰＲ・広報活動推進,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-13,PR・広報,BZ-1302,ブランディング・ＰＲ戦略の策定,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-13,PR・広報,BZ-1303,海外向けＰＲ,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-13,PR・広報,BZ-1304,エミネンス活動,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-13,PR・広報,BZ-1305,クライシスコミュニケーション,1
SK-01,戦略・計画策定,SK-0101,調査・動向把握,BZ-13,PR・広報,BZ-1306,ＩＲ（情報開示）,1
SK-01,戦略・計画策定,SK-0102,戦略策定,BZ-01,プロジェクト企画・考案,BZ-0101,宇宙ミッション策定,1
SK-01,戦略・計画策定,SK-0102,戦略策定,BZ-06,衛星運用,BZ-0601,運用コンセプト設計,1
SK-01,戦略・計画策定,SK-0102,戦略策定,BZ-08,経営企画,BZ-0801,経営戦略の策定,1
SK-01,戦略・計画策定,SK-0102,戦略策定,BZ-08,経営企画,BZ-0802,企業提携,1
SK-01,戦略・計画策定,SK-0102,戦略策定,BZ-08,経営企画,BZ-0803,海外展開戦略の企画・調整,1
SK-01,戦略・計画策定,SK-0102,戦略策定,BZ-08,経営企画,BZ-0804,政策・公募制度の活用提案,1
SK-01,戦略・計画策定,SK-0103,シナリオプランニング,BZ-01,プロジェクト企画・考案,BZ-0101,宇宙ミッション策定,1
SK-01,戦略・計画策定,SK-0103,シナリオプランニング,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-01,戦略・計画策定,SK-0103,シナリオプランニング,BZ-07,衛星データ利活用,BZ-0701,ユースケース企画,1
SK-01,戦略・計画策定,SK-0103,シナリオプランニング,BZ-08,経営企画,BZ-0801,経営戦略の策定,1
SK-01,戦略・計画策定,SK-0103,シナリオプランニング,BZ-08,経営企画,BZ-0802,企業提携,1
SK-01,戦略・計画策定,SK-0103,シナリオプランニング,BZ-08,経営企画,BZ-0803,海外展開戦略の企画・調整,1
SK-01,戦略・計画策定,SK-0103,シナリオプランニング,BZ-08,経営企画,BZ-0804,政策・公募制度の活用提案,1
SK-01,戦略・計画策定,SK-0104,計画策定,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-01,戦略・計画策定,SK-0104,計画策定,BZ-06,衛星運用,BZ-0602,運用計画策定,1
SK-01,戦略・計画策定,SK-0104,計画策定,BZ-07,衛星データ利活用,BZ-0702,サービス設計,1
SK-01,戦略・計画策定,SK-0104,計画策定,BZ-07,衛星データ利活用,BZ-0708,アプリケーション企画・要件定義,1
SK-01,戦略・計画策定,SK-0104,計画策定,BZ-08,経営企画,BZ-0803,海外展開戦略の企画・調整,1
SK-01,戦略・計画策定,SK-0104,計画策定,BZ-08,経営企画,BZ-0804,政策・公募制度の活用提案,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-07,衛星データ利活用,BZ-0702,サービス設計,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-07,衛星データ利活用,BZ-0708,アプリケーション企画・要件定義,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-09,事業開発,BZ-0901,市場・顧客ニーズの発掘,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-09,事業開発,BZ-0902,ユースケースの企画・提案,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-09,事業開発,BZ-0903,新サービスの企画・検討,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-09,事業開発,BZ-0904,ビジネスモデル検討,1
SK-02,サービス設計,SK-0201,ビジネスモデル設計,BZ-09,事業開発,BZ-0905,サービス仕様検討・要件定義,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-07,衛星データ利活用,BZ-0702,サービス設計,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-07,衛星データ利活用,BZ-0708,アプリケーション企画・要件定義,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-07,衛星データ利活用,BZ-0709,ＵＩ／ＵＸ設計,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-09,事業開発,BZ-0901,市場・顧客ニーズの発掘,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-09,事業開発,BZ-0902,ユースケースの企画・提案,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-09,事業開発,BZ-0903,新サービスの企画・検討,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-09,事業開発,BZ-0904,ビジネスモデル検討,1
SK-02,サービス設計,SK-0202,サービス設計,BZ-09,事業開発,BZ-0905,サービス仕様検討・要件定義,1
SK-02,サービス設計,SK-0203,ユーザビリティ（UX）設計,BZ-07,衛星データ利活用,BZ-0710,ＰｏＣ・利用支援,1
SK-02,サービス設計,SK-0203,ユーザビリティ（UX）設計,BZ-09,事業開発,BZ-0901,市場・顧客ニーズの発掘,1
SK-02,サービス設計,SK-0203,ユーザビリティ（UX）設計,BZ-09,事業開発,BZ-0902,ユースケースの企画・提案,1
SK-02,サービス設計,SK-0203,ユーザビリティ（UX）設計,BZ-09,事業開発,BZ-0903,新サービスの企画・検討,1
SK-02,サービス設計,SK-0203,ユーザビリティ（UX）設計,BZ-09,事業開発,BZ-0904,ビジネスモデル検討,1
SK-02,サービス設計,SK-0203,ユーザビリティ（UX）設計,BZ-09,事業開発,BZ-0905,サービス仕様検討・要件定義,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-07,衛星データ利活用,BZ-0709,ＵＩ／ＵＸ設計,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-07,衛星データ利活用,BZ-0710,ＰｏＣ・利用支援,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-07,衛星データ利活用,BZ-0711,運用保守,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-07,衛星データ利活用,BZ-0712,インサイト抽出,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-09,事業開発,BZ-0901,市場・顧客ニーズの発掘,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-09,事業開発,BZ-0902,ユースケースの企画・提案,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-09,事業開発,BZ-0903,新サービスの企画・検討,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-09,事業開発,BZ-0904,ビジネスモデル検討,1
SK-02,サービス設計,SK-0204,社会実装化,BZ-09,事業開発,BZ-0905,サービス仕様検討・要件定義,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-01,プロジェクト企画・考案,BZ-0101,宇宙ミッション策定,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-02,プロジェクト管理,BZ-0206,プロジェクト品質・仕様管理,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-03,宇宙機開発・製造,BZ-0301,概念設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-05,打上運用,BZ-0503,射場セキュリティ管理,1
SK-03,プロジェクトマネジメント,SK-0301,プロジェクト統合マネジメント,BZ-10,ガバナンス,BZ-1004,インシデント対応,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-01,プロジェクト企画・考案,BZ-0101,宇宙ミッション策定,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-03,宇宙機開発・製造,BZ-0301,概念設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-05,打上運用,BZ-0503,射場セキュリティ管理,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-06,衛星運用,BZ-0605,無線免許申請,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-06,衛星運用,BZ-0614,ミッション実行,1
SK-03,プロジェクトマネジメント,SK-0302,スコープマネジメント,BZ-06,衛星運用,BZ-0615,廃棄運用,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-03,宇宙機開発・製造,BZ-0311,製造工程管理,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-05,打上運用,BZ-0503,射場セキュリティ管理,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-06,衛星運用,BZ-0614,ミッション実行,1
SK-03,プロジェクトマネジメント,SK-0303,タイムマネジメント,BZ-06,衛星運用,BZ-0615,廃棄運用,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-02,プロジェクト管理,BZ-0202,プロジェクトコストマネジメント,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-03,宇宙機開発・製造,BZ-0311,製造工程管理,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-06,衛星運用,BZ-0605,無線免許申請,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-17,財務・経理,BZ-1701,財務管理,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-17,財務・経理,BZ-1703,管理会計,1
SK-03,プロジェクトマネジメント,SK-0304,コストマネジメント,BZ-18,調達,BZ-1805,調達コスト・実績管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-02,プロジェクト管理,BZ-0205,プロジェクト安全管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-02,プロジェクト管理,BZ-0206,プロジェクト品質・仕様管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-02,プロジェクト管理,BZ-0208,トレーサビリティ管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-03,宇宙機開発・製造,BZ-0307,プロダクト品質検査・品質管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-03,宇宙機開発・製造,BZ-0308,品質監査対応,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-03,宇宙機開発・製造,BZ-0310,生産管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-03,宇宙機開発・製造,BZ-0311,製造工程管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-10,ガバナンス,BZ-1004,インシデント対応,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-18,調達,BZ-1801,調達品選定,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-18,調達,BZ-1803,納品管理,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-19,検査・検収,BZ-1901,受入検査・ドキュメント検査,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-19,検査・検収,BZ-1902,検査・検収,1
SK-03,プロジェクトマネジメント,SK-0305,品質マネジメント,BZ-19,検査・検収,BZ-1903,出荷検査,1
SK-03,プロジェクトマネジメント,SK-0306,資源マネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0306,資源マネジメント,BZ-02,プロジェクト管理,BZ-0204,プロジェクト体制・要員マネジメント,1
SK-03,プロジェクトマネジメント,SK-0306,資源マネジメント,BZ-02,プロジェクト管理,BZ-0208,トレーサビリティ管理,1
SK-03,プロジェクトマネジメント,SK-0306,資源マネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0306,資源マネジメント,BZ-06,衛星運用,BZ-0604,周波数調整,1
SK-03,プロジェクトマネジメント,SK-0306,資源マネジメント,BZ-18,調達,BZ-1802,発注管理,1
SK-03,プロジェクトマネジメント,SK-0306,資源マネジメント,BZ-18,調達,BZ-1803,納品管理,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-02,プロジェクト管理,BZ-0205,プロジェクト安全管理,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-02,プロジェクト管理,BZ-0207,ステークホルダーマネジメント,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-03,宇宙機開発・製造,BZ-0310,生産管理,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-03,宇宙機開発・製造,BZ-0311,製造工程管理,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-05,打上運用,BZ-0502,射場安全管理,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-05,打上運用,BZ-0503,射場セキュリティ管理,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-06,衛星運用,BZ-0605,無線免許申請,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-06,衛星運用,BZ-0613,観測要求調整,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-06,衛星運用,BZ-0615,廃棄運用,1
SK-03,プロジェクトマネジメント,SK-0307,コミュニケーションマネジメント,BZ-10,ガバナンス,BZ-1004,インシデント対応,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-02,プロジェクト管理,BZ-0203,プロジェクトリスクマネジメント,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-02,プロジェクト管理,BZ-0205,プロジェクト安全管理,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-02,プロジェクト管理,BZ-0206,プロジェクト品質・仕様管理,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-04,地上設備・施設管理,BZ-0408,施設構造健全性・安全管理,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-05,打上運用,BZ-0502,射場安全管理,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-05,打上運用,BZ-0503,射場セキュリティ管理,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-05,打上運用,BZ-0504,国際調整・輸出管理対応業務,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-05,打上運用,BZ-0505,飛行レンジ安全確保,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-05,打上運用,BZ-0507,気象観測,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-06,衛星運用,BZ-0614,ミッション実行,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-06,衛星運用,BZ-0615,廃棄運用,1
SK-03,プロジェクトマネジメント,SK-0308,リスクマネジメント,BZ-10,ガバナンス,BZ-1004,インシデント対応,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-02,プロジェクト管理,BZ-0206,プロジェクト品質・仕様管理,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-02,プロジェクト管理,BZ-0208,トレーサビリティ管理,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-03,宇宙機開発・製造,BZ-0310,生産管理,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-05,打上運用,BZ-0503,射場セキュリティ管理,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-05,打上運用,BZ-0504,国際調整・輸出管理対応業務,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-05,打上運用,BZ-0505,飛行レンジ安全確保,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-05,打上運用,BZ-0506,関連機関・地元ステークホルダーとの調整,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-06,衛星運用,BZ-0601,運用コンセプト設計,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-06,衛星運用,BZ-0604,周波数調整,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-06,衛星運用,BZ-0605,無線免許申請,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-06,衛星運用,BZ-0610,姿勢維持,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-06,衛星運用,BZ-0612,他軌道上物体の監視,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-06,衛星運用,BZ-0614,ミッション実行,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-18,調達,BZ-1801,調達品選定,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-18,調達,BZ-1803,納品管理,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-18,調達,BZ-1805,調達コスト・実績管理,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-19,検査・検収,BZ-1901,受入検査・ドキュメント検査,1
SK-03,プロジェクトマネジメント,SK-0309,調達マネジメント,BZ-19,検査・検収,BZ-1902,検査・検収,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-01,プロジェクト企画・考案,BZ-0101,宇宙ミッション策定,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-01,プロジェクト企画・考案,BZ-0102,プロジェクト計画策定,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-01,プロジェクト企画・考案,BZ-0103,ロビー活動,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-02,プロジェクト管理,BZ-0203,プロジェクトリスクマネジメント,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-02,プロジェクト管理,BZ-0205,プロジェクト安全管理,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-02,プロジェクト管理,BZ-0207,ステークホルダーマネジメント,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-03,宇宙機開発・製造,BZ-0301,概念設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-03,宇宙機開発・製造,BZ-0302,システム設計（システム全体）,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-03,宇宙機開発・製造,BZ-0310,生産管理,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-05,打上運用,BZ-0501,射場運用計画策定,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-05,打上運用,BZ-0502,射場安全管理,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-05,打上運用,BZ-0503,射場セキュリティ管理,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-05,打上運用,BZ-0505,飛行レンジ安全確保,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-05,打上運用,BZ-0520,関連機関・地元ステークホルダーへの説明,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-06,衛星運用,BZ-0604,周波数調整,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-06,衛星運用,BZ-0605,無線免許申請,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-06,衛星運用,BZ-0613,観測要求調整,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-06,衛星運用,BZ-0614,ミッション実行,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-06,衛星運用,BZ-0615,廃棄運用,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-07,衛星データ利活用,BZ-0702,サービス設計,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-10,ガバナンス,BZ-1004,インシデント対応,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-18,調達,BZ-1802,発注管理,1
SK-03,プロジェクトマネジメント,SK-0310,ステークホルダーマネジメント,BZ-18,調達,BZ-1803,納品管理,1
SK-04,開発・製造管理,SK-0401,生産管理,BZ-02,プロジェクト管理,BZ-0201,プロジェクト進捗マネジメント,1
SK-04,開発・製造管理,SK-0401,生産管理,BZ-02,プロジェクト管理,BZ-0202,プロジェクトコストマネジメント,1
SK-04,開発・製造管理,SK-0401,生産管理,BZ-02,プロジェクト管理,BZ-0204,プロジェクト体制・要員マネジメント,1
SK-04,開発・製造管理,SK-0401,生産管理,BZ-02,プロジェクト管理,BZ-0205,プロジェクト安全管理,1
SK-04,開発・製造管理,SK-0401,生産管理,BZ-02,プロジェクト管理,BZ-0206,プロジェクト品質・仕様管理,1
SK-04,開発・製造管理,SK-0401,生産管理,BZ-02,プロジェクト管理,BZ-0208,トレーサビリティ管理,1
